1 | Greetings Adventurer are you prepared to challenge the mighty Cave of Destruction? Beware there lies perilous feats ahead. Let's start with choosing your class. Option 1 For Melee Option two for Ranged.  | 2 | 3
2 | You have Chosen Melee lets pick a subclass. Option 1 for Paladin Option 2 for Assassin  | 4 | 5
3 | You have Chosen Ranged Lets pick a subclass. Option 1 for Mage Option 2 for Ranger | 6 | 7
4 | You have Chosen The Paladin get ready to embark down the Cave. Option 1 To enter the cave Option 2 Retreat | 8 | -1
5 | You have Chosen The Assassin get ready to embark down the Cave. Option 1 To enter the cave Option 2 Retreat  | 9 | -1
6 | You have Chosen The Mage get ready to embark down the Cave. Option 1 To enter the cave Option 2 Retreat  | 10 | -1
7 | You have Chosen The Hunter get ready to embark down the Cave. Option 1 To enter the cave Option 2 Retreat | 11 | -1
8 | You enter the tunnel leading into the cave after walking through opening in the earth you reach a torch lit room a cliff on both sides of the room and a chasm in the middle. The room is connected by a rope bridge. There is a Demon guarding the bridge. Option one to cast holy light on the demon Option 2 to cast shield throw | 12 | 13
9 | You enter the tunnel leading into the cave after walking through opening in the earth you reach a torch lit room a cliff on both sides of the room and a chasm in the middle. The room is connected by a rope bridge. There is a Demon guarding the bridge. Option one to cast Stealth and sneak past the demon option 2 to cast stealth and attempt to backstab the demon but the knife gets stuck in his back| 14 | 15
10 | You enter the tunnel leading into the cave after walking through opening in the earth you reach a torch lit room a cliff on both sides of the room and a chasm in the middle. The room is connected by a rope bridge. There is a Demon guarding the bridge. Option one to cast fireball on the demon option two to cast levitate and float past the chasm  | 16 | 17
11 | You enter the tunnel leading into the cave after walking through opening in the earth you reach a torch lit room a cliff on both sides of the room and a chasm in the middle. The room is connected by a rope bridge. There is a Demon guarding the bridge. Option one to cast explosive arrow option 2 to cast paralysis arrow | 18 | 19
12 | The holy light crumbles the demon to dust you proceed going on the bridge and entering the next room there are two chests laid out in the front of the room a golden chest encrusted in jewels placed in the center of the room and a wooden chest in the corner of the room. Option one to open the golden chest option two to open the wooden chest | 20 | 21
13 | The Demon catches your shield and imbues it with demonic energy. You attempt to strike the demon down with your holy blade but to no avail, the demon blocks with his new shield shattering your sword the shockwave sends you into the abyss. | -1 | -1
14 | You sneak past the demon and proceed going on the bridge and entering the next room there are two chests laid out in the front of the room a golden chest encrusted in jewels placed in the center of the room and a wooden chest in the corner of the room. Option one to open the golden chest option two to open the wooden chest  | 22 | 23
15 | The demon flinches after the knife is driven into his back he swings his arm and flings you into the abyss  | -1 | -1
16 | The fireball misses and hits the rope bridge the demon charges at you and picks you up and flings you into the chasm | -1 | -1
17 | You cast levitate and fly past the chasm avoiding the demon. The demon attempts to meet you on the other side via the bridge, but it collapses. you enter the next room there are two chests laid out in the front of the room a golden chest encrusted in jewels placed in the center of the room and a wooden chest in the corner of the room. Option one to open the golden chest option two to open the wooden chest | 24 | 25
18 | The explosive arrow goes off causing the roof of the cave to collapse you are crushed to death :(| -1 | -1
19 | The paralysis arrow lands on the demon paralyzing him with a quick acting poison you proceed going on the bridge and entering the next room there are two chests laid out in the front of the room a golden chest encrusted in jewels placed in the center of the room and a wooden chest in the corner of the room. Option one to open the golden chest option two to open the wooden chest | 26 | 27
20 | The golden chest was a trap the chest itself was a monster a mouth emerges from the chest and eats you whole :( | -1 | -1
